juego,sorteo,fecha,n1,n2,n3,n4,n5,superbalota,page,detail_url
REVANCHA,2532,28 de Julio de 2025,8,16,22,34,41,10,20,https://www.baloto.com/resultados-revancha/2532
BALOTO,2531,26 de Julio de 2025,19,25,29,34,43,10,20,https://www.baloto.com/resultados-baloto/2531
REVANCHA,2531,26 de Julio de 2025,1,17,21,28,35,12,20,https://www.baloto.com/resultados-revancha/2531
BALOTO,2530,23 de Julio de 2025,1,16,19,25,26,16,20,https://www.baloto.com/resultados-baloto/2530
REVANCHA,2530,23 de Julio de 2025,7,8,11,27,38,3,20,https://www.baloto.com/resultados-revancha/2530
BALOTO,2529,21 de Julio de 2025,21,26,27,34,41,16,20,https://www.baloto.com/resultados-baloto/2529
REVANCHA,2529,21 de Julio de 2025,4,13,18,33,36,11,20,https://www.baloto.com/resultados-revancha/2529
BALOTO,2528,19 de Julio de 2025,14,17,22,24,27,9,20,https://www.baloto.com/resultados-baloto/2528
REVANCHA,2528,19 de Julio de 2025,4,7,23,37,43,15,20,https://www.baloto.com/resultados-revancha/2528
BALOTO,2527,16 de Julio de 2025,5,10,13,20,31,13,21,https://www.baloto.com/resultados-baloto/2527
REVANCHA,2527,16 de Julio de 2025,4,15,21,30,35,5,21,https://www.baloto.com/resultados-revancha/2527
BALOTO,2526,14 de Julio de 2025,8,14,28,35,36,5,21,https://www.baloto.com/resultados-baloto/2526
REVANCHA,2526,14 de Julio de 2025,7,8,12,33,39,13,21,https://www.baloto.com/resultados-revancha/2526
BALOTO,2525,12 de Julio de 2025,7,10,17,30,43,15,21,https://www.baloto.com/resultados-baloto/2525
REVANCHA,2525,12 de Julio de 2025,1,11,24,25,35,8,21,https://www.baloto.com/resultados-revancha/2525
BALOTO,2524,9 de Julio de 2025,9,21,25,29,41,10,21,https://www.baloto.com/resultados-baloto/2524
REVANCHA,2524,9 de Julio de 2025,3,5,9,35,39,11,21,https://www.baloto.com/resultados-revancha/2524
BALOTO,2523,7 de Julio de 2025,2,12,24,41,42,5,21,https://www.baloto.com/resultados-baloto/2523
REVANCHA,2523,7 de Julio de 2025,9,16,28,36,43,12,21,https://www.baloto.com/resultados-revancha/2523
BALOTO,2522,5 de Julio de 2025,4,17,19,26,36,10,22,https://www.baloto.com/resultados-baloto/2522
REVANCHA,2522,5 de Julio de 2025,17,26,29,32,34,2,22,https://www.baloto.com/resultados-revancha/2522
BALOTO,2521,2 de Julio de 2025,6,16,21,23,42,13,22,https://www.baloto.com/resultados-baloto/2521
REVANCHA,2521,2 de Julio de 2025,5,10,12,24,29,13,22,https://www.baloto.com/resultados-revancha/2521
BALOTO,2520,30 de Junio de 2025,2,3,9,36,41,15,22,https://www.baloto.com/resultados-baloto/2520
REVANCHA,2520,30 de Junio de 2025,3,4,8,11,17,14,22,https://www.baloto.com/resultados-revancha/2520
BALOTO,2519,28 de Junio de 2025,5,15,18,31,35,8,22,https://www.baloto.com/resultados-baloto/2519
REVANCHA,2519,28 de Junio de 2025,10,13,18,34,40,12,22,https://www.baloto.com/resultados-revancha/2519
BALOTO,2518,25 de Junio de 2025,5,8,20,29,35,11,22,https://www.baloto.com/resultados-baloto/2518
REVANCHA,2518,25 de Junio de 2025,4,11,12,14,21,12,22,https://www.baloto.com/resultados-revancha/2518
BALOTO,2517,23 de Junio de 2025,3,24,28,34,37,15,23,https://www.baloto.com/resultados-baloto/2517
REVANCHA,2517,23 de Junio de 2025,9,17,25,42,43,3,23,https://www.baloto.com/resultados-revancha/2517
BALOTO,2516,21 de Junio de 2025,9,17,24,29,43,8,23,https://www.baloto.com/resultados-baloto/2516
REVANCHA,2516,21 de Junio de 2025,5,24,26,30,43,4,23,https://www.baloto.com/resultados-revancha/2516
BALOTO,2515,18 de Junio de 2025,4,10,15,23,42,9,23,https://www.baloto.com/resultados-baloto/2515
REVANCHA,2515,18 de Junio de 2025,2,6,7,13,18,14,23,https://www.baloto.com/resultados-revancha/2515
BALOTO,2514,16 de Junio de 2025,2,4,5,16,32,9,23,https://www.baloto.com/resultados-baloto/2514
REVANCHA,2514,16 de Junio de 2025,4,8,10,30,40,10,23,https://www.baloto.com/resultados-revancha/2514
BALOTO,2513,14 de Junio de 2025,5,7,14,15,19,6,23,https://www.baloto.com/resultados-baloto/2513
